status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,90,90,stacksats_mvrv_weight,201,6,-1.806888176399346,-912.7089825944277,50.0,49600045.18314575,50512754.16574016,35,
success,21,90,90,stacksats_momentum_weight,201,6,-1.6585656963791218,-837.787212889285,66.66666666666666,49674966.952850886,50512754.16574016,35,
success,21,90,120,sma_90d_weight,231,6,-1.6611558974983787,-839.0955948130504,66.66666666666666,49673658.57092712,50512754.16574016,39,
success,21,90,120,stacksats_mvrv_weight,231,6,-1.9176185459959139,-968.6419419755548,50.0,49544112.22376462,50512754.16574016,39,
success,21,90,120,stacksats_momentum_weight,231,6,-1.7821525783281333,-900.2143507492874,66.66666666666666,49612539.81499088,50512754.16574016,39,
success,21,90,150,sma_90d_weight,261,6,-1.6319494928161316,-824.3426354152543,50.0,49688411.53032492,50512754.16574016,66,
success,21,90,150,stacksats_mvrv_weight,261,6,-1.6775807488729533,-847.3922396099806,50.0,49665361.92613019,50512754.16574016,66,
success,21,90,150,stacksats_momentum_weight,261,6,-1.6918131931319969,-854.5814391903259,50.0,49658172.72654984,50512754.16574016,66,
success,21,90,180,sma_90d_weight,291,6,-1.6362969172653452,-826.5386392398286,50.0,49686215.52650036,50512754.16574016,62,
success,21,90,180,stacksats_mvrv_weight,291,6,-1.6674163102886386,-842.2579017355529,50.0,49670496.264004625,50512754.16574016,62,
success,21,90,180,stacksats_momentum_weight,291,6,-1.6941629858108431,-855.7683841895923,50.0,49656985.781550586,50512754.16574016,62,
success,21,90,200,sma_90d_weight,311,6,-1.6319391145314888,-824.3373930578455,50.0,49688416.77268233,50512754.16574016,61,
success,21,90,200,stacksats_mvrv_weight,311,6,-1.6798456950802176,-848.5363263196414,50.0,49664217.83942054,50512754.16574016,61,
success,21,90,200,stacksats_momentum_weight,311,6,-1.6943433902238514,-855.8595114272393,50.0,49656894.65431293,50512754.16574016,61,
success,21,90,210,sma_90d_weight,321,6,-1.6317670950933172,-824.2505013019254,50.0,49688503.66443825,50512754.16574016,61,
success,21,90,210,stacksats_mvrv_weight,321,6,-1.6796813158518775,-848.4532938441262,50.0,49664300.87189606,50512754.16574016,61,
success,21,90,210,stacksats_momentum_weight,321,6,-1.694175615302429,-855.7747636936328,50.0,49656979.40204654,50512754.16574016,61,
success,21,90,240,sma_90d_weight,351,6,-1.6330847882973343,-824.916104430733,50.0,49687838.06130944,50512754.16574016,61,
success,21,90,240,stacksats_mvrv_weight,351,6,-1.6810940990185652,-849.1669295320098,50.0,49663587.23620817,50512754.16574016,61,
success,21,90,240,stacksats_momentum_weight,351,6,-1.6955436707164595,-856.4658061617738,50.0,49656288.35957841,50512754.16574016,61,
success,21,90,270,sma_90d_weight,381,6,-1.7106141059757163,-864.0782980759905,50.0,49648675.86766419,50512754.16574016,61,
success,21,90,270,stacksats_mvrv_weight,381,6,-1.7560746480084877,-887.0416699154157,50.0,49625712.49582476,50512754.16574016,61,
